nameOfAuthor,listOfAuthors,studentPublication,title,typeOfPublication,nameOfPublicationPlatform,scopus,wos,publicationDetails,year,month,academicYear,url,doi,identificationNumber,indexing,noOfCitations,abstract,keywords,specialization,status,link,dateOfPublication,Unnamed: 23,Unnamed: 24,Unnamed: 25
Nimmala Mangathayaru,"N Venkata Sailaja, L Padmasree, N Mangathayaru",,Incremental learning for text categorization using rough set boundary based optimized Support Vector Neural Network,Journal,Data Technologies and Applications,No,No,Volume 54 Issue 5,2020.0,July,2020-21,https://www.emerald.com/insight/content/doi/10.1108/DTA-03-2020-0071/full/html,,ISSN: 2514-9288,emerald,0.0,"Text mining has been used for various knowledge discovery based applications, and thus, a lot of research has been contributed towards it. Latest trending research in the text mining is adopting the incremental learning data, as it is economical while dealing with large volume of information.","Incremental Learning,Text MIning,Support Network Neural Network,Rough Set Theory,Moth search algorithm",,,,2020-07-02,,,
Nimmala Mangathayaru,"N Venkata Sailaja, L Padmasree, N Mangathayaru",,A new text categorisation strategy: prototype design and experimental analysis,Journal,International Journal of Knowledge and Learning,No,No,"Vol. 13, No. 2, pp 146-167",2020.0,Aprl,2019-20,https://www.inderscienceonline.com/doi/abs/10.1504/IJKL.2020.106650,,ISSN: 1741-1009,inderscienceonline,0.0,"Since a decade, ample amount of text data is being generated through various web sources in online or offline scenarios. This huge amount of data is mainly inconsistent and non-structured format, so hard to process through computing machines available. With the advent of computers and the information age, statistical and analytical problems have also grown both in the size and complexity. Text classification using various machine learning mechanisms encounters the difficulty of the high dimensionality of attributes vector. Therefore, a feature selection technique is very much required to discard irrelevant as well as noisy attributes from the feature set vector so that the ML algorithms can work efficiently. In this paper, a hybrid method is proposed for text documents classification. Further, proposed method's performance is evaluated on standard datasets, i.e., Reuters-21578 and 20 newsgroups. We opted 'bydate' version of the dataset containing 18,941 documents. Through our experiments, we attempted to explore the various performance measures.","text classification, rough sets, RS, information retrieval feature selection, machine learning, evaluation, 20 newsgroups, Reuters-21578",,,,2020-04-13,,,
B.Mathura Bai,"B Mathura Bai, N Mangathayaru, B Padmaja Rani",No,An Optimized Spectral Clustering Algorithm for Better Imputation of Medical Datasets (OISSC),Conference,International Conference on Information and Communication Technology for Intelligent Systems,No,No,ICTIS 2023: IOT with Smart Systems pp 599612,2023.0,April,2022-23,https://link.springer.com/chapter/10.1007/978-981-99-3761-5_53,https://doi.org/10.1007/978-981-99-3761-5_53,Online ISBN 978-981-99-3761-5,Springer,0.0,"The selection of optimal clusters is always considered to be an open challenge in most of the clustering algorithms like K-Means, Hierarchical Clustering, Agglomerative clustering, DBSCAN clustering methods. They depend on factors like learning parameters, priori knowledge about the input for better clustering. Optimal clusters improve the efficiency of clustering algorithms and result in good cluster quality. The quality of the clusters can also be improved by selecting the optimal instances from the dataset. An optimized instance selection spectral clustering algorithm is proposed as a data reduction method during imputation using the proposed similarity fuzzy measure. The proposed method (OISSC) is tested on different medical missing datasets, and it has performed an accurate imputation when compared to other imputation methods. The proposed imputation method is tested with other imputation methods and found to be efficient.","Data reduction,
Instance selection,
Spectral clustering,
Data imputation",,,,2023-04-31,,,
B.Mathura Bai,"B Mathura Bai, N Mangathayaru, B Padmaja Rani",,Diabetes Complications Prediction Using Different Multi-label Classification Algorithms-MEKA,Book Chapter,"International Conference on Intelligent Computing and Communication Technologies, ICICCT 2019  System Reliability, Quality Control, Safety, Maintenance and Management",No,No,"Pages 386-396, Publisher Springer, Singapore",2019.0,January,2018-19,https://link.springer.com/chapter/10.1007/978-981-13-8461-5_43,https://doi.org/10.1007/978-981-13-8461-5_43,ISBN978-981-13-8460-8,Springer link,0.0,"Now-a-days, Diabetes is the most prominent chronic or non-communicable disease (NCD) in India. More Indian families are influenced by this disease due to its increasing occurrence. The Electronic Health Records (EHRs) contain all the clinical related data of patients. The clinical data helps in identifying the patient hidden knowledge like disease identification based on the features and in identifying the correlation between the clinical parameters and the complications that occur out of disease. Data mining algorithms does these tasks. In our work, prediction model is build using different multi-label classification algorithms like Binary Relevance, Label Combination, Pruned Set, RAkEL, and Chained Classifiers have been considered. We can see that the performance of model built using RAkEL and Chained Classifiers are relatively high when compared to Binary Relevance, Least Combination, and Pruned Sets. Model is used to predict diabetes complications from patient records.","Diabetes, chronic disease, non-communicable disease (NCD), India, Electronic Health Records (EHRs), clinical data, patient knowledge, disease identification, clinical parameters, complications, data mining algorithms, prediction model, multi-label classification, Binary Relevance, Label Combination, Pruned Set, RAkEL, Chained Classifiers, diabetes complications, patient records.",,,,2019-06-28,,,
B.Mathura Bai,"BM Bai, N Mangathayaru, BP Rani, S Aljawarneh",,Mathura (MBI)-A novel imputation measure for imputation of missing values in medical datasets,Journal,Recent Advances in Computer Science and Communications (Formerly: Recent Patents on Computer Science),No,No,"Volume 14,Issue 5,Bentham Science Publishers",2021.0,July,2020-21,https://scholar.google.co.in/citations?view_op=view_citation&hl=en&user=djgiAekAAAAJ&citation_for_view=djgiAekAAAAJ:mB3voiENLucC,https://doi.org/10.2174/2666255813666191216123352,,Ingenta Connect,13.0,"Aims: Propose an imputation measure for filling missing data values so as to make the incomplete medical datasets as complete datasets. Apply this imputation measure on imputed datasets to achieve improved classifier accuracies.Objective: The basic intention of the present study is to present an imputation measure to find the proximity between medical records and an approach for imputation of missing values in medical datasets to improve the accuracy of existing classifiers.Methods: The performance of proposed approach is compared to existing approaches with respect to classifier accuracy and also by performing non-parametric test called Wilcoxon test.Results & Conclusion: Experiments are conducted by considering three benchmark datasets CLEVALAND, PIMA, ECOLI and by applying proposed imputation technique with KNN, J48 and SMO classifiers and classifier accuracies are determined. The results obtained are then compared to thirteen existing benchmark imputation techniques available in KEEL repository. Experiment results proved the importance of the proposed imputation technique.", Imputation; RBFN; accuracy; classification; cross fold validation; missing value,,,,2021-07-01,,,
B.Mathura Bai,"N.Mangathayaru,B.Padmaja Rani",,Exploring Research Issues in Mining Medical Datasets,conference,ICEMIS 2015,No,No,ICEMIS 2015,2015.0,September,2015-16,https://dl.acm.org/citation.cfm?id=2833078,10.1145/2832987.2833078,ISBN: 978-1-4503-3418-1,ACM,5.0,"Mining medical datasets is a challenging problem before data mining researchers as these datasets have several hidden challenges compared to conventional datasets. Starting from the collection of samples through field experiments and clinical trials to performing classification, there are numerous challenges at every stage in the mining process. The preprocessing phase in the mining process itself is a challenging issue when, we work on medical datasets. The main contribution of this research includes the detailed survey carried out and brings out the discussion that is not initiated in research papers published in the fields of medical and health informatics. We made a sincere effort towards making this possible and aim to bring out the various research issues associated with the disease prediction from the perspective of data mining. We also discuss the nature of medical disease datasets before switching our attention towards prediction or classification.","mining, medical datasets, data mining, researchers, challenges, preprocessing phase, classification, missing values, imputation measure, categorical attribute values, research, case study, field experiments, clinical trials, proposed measure",,,,2015-09-24,,,
B.Mathura Bai,"N Mangathayaru, P Rani, V Janaki, K Srinivas, BM Bai, GS Mohan, ..",,An Attention Based Neural Architecture for Arrhythmia Detection and Classification from ECG Signals,Journal,CMC-COMPUTERS MATERIALS & CONTINUA,No,No,"69 (2), 2425-2443",2021.0,January,2020-21,https://www.techscience.com/cmc/v69n2/43850,doi:10.32604/cmc.2021.016534,ISSN: 1546-2218 (print),TechScience,0.0,"Arrhythmia is ubiquitous worldwide and cardiologists tend to provide solutions from the recent advancements in medicine. Detecting arrhythmia from ECG signals is considered a standard approach and hence, automating this process would aid the diagnosis by providing fast, cost-efficient, and accurate solutions at scale. This is executed by extracting the definite properties from the individual patterns collected from Electrocardiography (ECG) signals causing arrhythmia. In this era of applied intelligence, automated detection and diagnostic solutions are widely used for their spontaneous and robust solutions. In this research, our contributions are two-fold. Firstly, the Dual-Tree Complex Wavelet Transform (DT-CWT) method is implied to overhaul shift-invariance and aids signal reconstruction to extract significant features. Next, A neural attention mechanism is implied to capture temporal patterns from the extracted features of the ECG signal to discriminate distinct classes of arrhythmia and is trained end-to-end with the finest parameters. To ensure that the models generalizability, a set of five train-test variants are implied. The proposed model attains the highest accuracy of 98.5% for classifying 8 variants of arrhythmia on the MIT-BIH dataset. To test the resilience of the model, the unseen (test) samples are increased by 5x and the deviation in accuracy score and MSE was 0.12% and 0.1% respectively. Further, to assess the diagnostic model performance, AUC-ROC curves are plotted. At every test level, the proposed model is capable of generalizing new samples and leverages the advantage to develop a real-world application. As a note, this research is the first attempt to provide neural attention in arrhythmia classification using MIT-BIH ECG signals data with state-of-the-art performance.",Arrhythmia classification; arrhythmia detection; MIT-BIH dataset; dual-tree complex wave transform; ECG classification; neural attention; neural networks; deep learning,,,,2021-07-21,,,
B.Mathura Bai,"B Mathura Bai, N Mangathayaru",,Modified K-Nearest Neighbour Using Proposed Similarity Fuzzy Measure for Missing Data Imputation on Medical Datasets (MKNNMBI),Journal,International Journal of Fuzzy System Applications (IJFSA),Yes,No,Volume 11 Issue 3 Pages 1-15 Publisher IGI Global,2022.0,July,2022-23,https://www.igi-global.com/article/modified-k-nearest-neighbour-using-proposed-similarity-fuzzy-measure-for-missing-data-imputation-on-medical-datasets-mknnmbi/3062788,,DOI: 10.4018/IJFSA.306278,igi-global,0.0,,,,,,2022-07-01,,,
B.Mathura Bai,"B.Mathura Bai, N.Mangathayaru,B.Padmaja Rani",No,Unsupervised Learning Method for Better Imputation of Missing Values,Book Chapter,International Advanced Computing Conference IACC-2022,Yes,No,"Communications in Computer and Information Science Book Series (CCIS, Volume 1782)",2023.0,July,2023-24,https://link.springer.com/chapter/10.1007/978-3-031-35644-5_3,https://doi.org/10.1007/978-3-031-35644-5_3,"ISSN: 1865-0937, ISBN: 978-3-031-35644-5","Scopus,DBLP, Google Scholar, SCImago",0.0,"The main objective of any clustering method is to improve the clusters quality. Such an improvement can be achieved using graph partitioning algorithm which partitions the graph into maximum components with minimum cut which represents the optimality of spectrum partitioning. The commonly used graph portioning algorithm is spectral algorithm called known popularly as spectral clustering. Such a unsupervised method can be used during imputation for identifying the optimal clusters. Optimal clusters reduce the search space during imputation and thus achieve dimensionality reduction. The proposed method uses MKNNMBI imputation method in which the non-missing dataset used for imputing the missing values is reduced. The reduction is achieved by using spectral partitioning method for which the non-missing dataset is represented as a graph. The spectrum of a Laplacian graph is obtained using spectral clustering from which the optimal l eigen values are identified as optimal cluster centers for imputation. The imputation is done using this reduced optimal non-missing dataset. The imputed dataset is evaluated by comparing the accuracies of classifiers like SVM, C4.5, NB and kNN. Proposed method has improved the accuracies of the imputation on optimal reduced datasets.","Data Imputation,
Clustering,
Spectral Partitioning",Machine Learning,Active,https://scholar.google.co.in/citations?user=yKGiAI8AAAAJ&hl=en,2023-07-01,,,
B.Mathura Bai,"Mathura Bai B. Mangathayaru N.,Padmaja Rani B.",No,A similarity measure to find Nearest Neighbours for heart disease to improve prediction accuracy,Journal,International Journal of Advanced Research in Computer and Communication Engineering,No,No,Volume 11 Issue 7 Pages 36-41,2022.0,December,2022-23,https://ijarcce.com/papers/a-similarity-measure-to-find-nearest-neighbours-for-heart-disease-to-improve-prediction-accuracy/,https://ijarcce.com/wp-content/uploads/2022/07/IJARCCE.2022.11706.pdf,"ISSN (O) 2278-1021, ISSN (P) 2319-5940",ijarcce,0.0,"k Nearest Neighbour Classifier (KNN) is a widely used non parametric machine learning model. This classifier can model complex date distributions and can achieve generalization. KNN algorithm coherently groups data into subsets and labels the test instance based on the similar or nearest training instances. The optimal selection of the nearest neighbours has to be done for accurate classification. Our work implements KNN algorithm with a similarity measure in identifying the optimal nearest neighbours for test instances and deciding their class label as the majority class label among the nearest neighbours. The proposed similarity measure considers the data distribution and thus helps in selecting the optimal nearest neighbours. The effectiveness of the proposed work is evaluated on several datasets with different classifiers like J48, Naive Bayes (NB) classifier. The proposed method outperforms in comparison with other ensemble learning techniques like Multilayer Perceptron (MLP) and Random Forest (RF) with high classification accuracy.","similarity measure, nearest neighbour, k fold cross validation, classification, acuracy",,,,2022-07-01,,,
B.Mathura Bai,"Nimmala Mangathayaru, B Mathura Bai, Panigrahi Srikanth",,Clustering and classification of effective diabetes diagnosis: computational intelligence techniques using PCA with kNN,Book Chapter,International Conference on Information and Communication Technology for Intelligent Systems,No,No,"International Conference on Information and Communication Technology for Intelligent Systems, ICTIS 2017, Volume 1, Pages 426-440, Publisher Springer, Cham,",2017.0,August,2016-17,https://link.springer.com/chapter/10.1007/978-3-319-63673-3_52,DOI https://doi.org/10.1007/978-3-319-63673-3_52,ISBN 978-3-319-63672-6,SpringerLink,4.0,The fourth leading disease in the world today is Diabetes and there are number of challenges to predict and identify the disease. Data mining proposes effective approaches to identify the diabetic patients. This paper proposes clustering and classification of effective diabetes diagnosis based on computational intelligence techniques using PCA with kNN. Diabetes disease data is used to identify feature of clusters. Diabetes disease diagnosis proposes novel distribution function applied to classify each patient. This proposed procedure defines clusters and similarity measure based on classifying with each cluster using computational intelligence techniques. PCA using diabetes disease data for dimensionality reduction. Novel similarity measure is proposed in kNN for classification. Accuracy measures are computed for each patient.,"Diabetes disease,Clustering,Classification,Distribution function and PCA with kNN",,,,2017-08-18,,,
Gunupudi Rajesh Kumar,"G Rajesh Kumar, D Srinivasa Rao, N Rajasekhar, Ch Ramesh Babu, Ch Rohini, T Ravi, N Mangathayaru",No,Emotion Detection Using Machine Learning and Deep Learning,Book Chapter,International Conference on Intelligent Computing and Communication,No,No,"Pages 705-715,Publisher Springer Nature Singapore",2022.0,November,2021-22,https://link.springer.com/chapter/10.1007/978-981-99-1588-0_62,,,Springer link,0.0,"The interaction between human and computer for some real application like driver state surveillance, personalized learning, health monitoring, etc. Most reported facial emotion recognition systems, however, are not fully considered subject-independent dynamic features. The main objective of the emotion detection model is to detect the emotions of the people by scanning their pictures in the model. The model detects the emotion of the person in the photograph. The emotions that can be detected in the model proposed by us is sad, angry, happy, shocked, surprised, neutral, disgust, etc. This project is focusing on detecting the emotion based on input human face images. The system can also be integrated as a part of video streaming. In the video stream some random pictures are taken to classify the emotion.","Emotion detection,Image processing,Classification,Convolutional neural networks (CNN)",,,,2023-09-20,,,
Gunupudi Rajesh Kumar,"N Mangathayaru, NR Kumar, GR Kumar",,FRAUDULENT TRANSACTION DETECTION BY MACHINE AND DEEP LEARNING ALGORITHMS,Journal,Journal of Population Therapeutics and Clinical Pharmacology,No,No,"Volume 30,Issue 14,Pages 446-453",2023.0,November,2022-23,https://www.jptcp.com/index.php/jptcp/article/view/3391,,,Journal of Poulation Therapeutics and clinical farmacalogy,0.0,"Credit card fraud continues to pose a significant threat to financial institutions and consumers worldwide. In recent years, the proliferation of advanced technology has enabled fraudsters to develop increasingly sophisticated methods for perpetrating fraudulent transactions. To combat this ever-evolving challenge, this study explores the application of state-of-the- art machine learning and deep learning algorithms for credit card fraud detection. This research leverages a comprehensive dataset containing both legitimate and fraudulent credit card transactions, allowing for the evaluation of various detection methods. We employ a diverse set of machine learning and deep learning models, including Random Forest, Support Vector Machine, Gradient Boosting, and Convolutional Neural Networks (CNNs), among others, to assess their performance in identifying fraudulent activities. The results of our experiments demonstrate the efficacy of deep learning techniques, particularly CNNs, in achieving higher accuracy and improved fraud detection rates when compared to traditional machine learning algorithms. Additionally, we investigate the interpretability of these models and discuss the trade-offs between model complexity and performance. this study investigates the importance of feature engineering, dimensionality reduction, and hyper parameter tuning to optimize the algorithms' performance. We also explore ensemble techniques, such as stacking and boosting, to harness the strengths of multiple models and enhance overall fraud detection capabilities","CNN, DL,ML, Fraud detection, high efficiency",,,,2023-11-09,,,
