S.No,Name of the author,List of Authors,Student Publication (Yes/No),Title,Type of Publication,Name of Conf/Journal/BC/TB/PT,SCOPUS Yes/No,WoS Yes/No,Publication Details,Year,Month,A.Y,URL,DoI,ISSN/ISBN,Indexing,Citations,Abstract,Keywords,Specialization,Status (Active/Inactive),,LINK,,,,,,,,
16,Gali Suresh Reddy,"G Madhu, GS Reddy, C Kiranmai",No,Hypothetical description for intelligent data mining,Journal,International Journal on Computer Science and Engineering,yes,no,"Volume 2, Issue 7, Pages 2349-2352",2010,October,2010-11,https://www.researchgate.net/publication/50194207_Hypothetical_Description_for_Intelligent_Data_Mining,,ISSN: 2320-7639,"Scopus, Google Scholar",6,,,,,,,,,,,,,,
17,Gali Suresh Reddy,Sai Gayatri Vadali and Gali Suresh Reddy,Yes,Artificial Intelligence-Based Automatic Evaluation Engine,Book Chapter,Smart Computing Techniques and Applications,Yes,No,vol 225. pg-225-234,2021,July,2020-21,https://link.springer.com/chapter/10.1007%2F978-981-16-0878-0_77#citeas,https://doi.org/10.1007/978-981-16-0878-0_77,ISBN 978-981-16-0877-3,"Scopus, Google Scholar",0,,,,,,,,,,,,,,
18,Gali Suresh Reddy,"A.Manisha, G.Suresh Reddy, kshira sagar sahoo",Yes,Software Define Industrial IoT for Smart City Applications,Book Chapter,Software-Defined Networking for Future Internet Technology,Yes,Yes,"Edition-1st Edition, First Published2021, ImprintApple Academic Press, Pg-237-254.",2021,July,2020-21,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003145721-9/software-defined-industrial-iot-smart-city-applications-manisha-suresh-reddy-kshira-sagar-sahoo,,ISBN-9781003145721,"Scopus, Google Scholar",,,,,,,,,,,,,,,
19,Gali Suresh Reddy,"K. Durga Prasad Varma, G.Suresh Reddy, J.Narendra, M.Sharukh",Yes,Software-Defined Network and Network Function Virtualization: A Comparative Study,Book Chapter,"Networking for Future Internet Technology, Concepts and Applications,",Yes,No,Pg-254-276,2021,July,2020-21,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003145721-10/software-defined-network-network-function-virtualization-comparative-study-koppada-durgaprasad-varma-suresh-reddy-jangili-narendra-moin-sharukh,,ISBN-9781003145721,"Scopus, Google Scholar",,,,,,,,,,,,,,,
20,Gali Suresh Reddy,D NAMRATHA,YES,DESIGN AND IMPLEMENTATION OF IOT BASED SMART HOME AUTOMATION SYSTEM,Journal,The International journal of analytical and experimental modal analysis,no,no,1463-1471,2021,September,2020-21,http://www.ijaema.com/VOLUME-XIII-ISSUE-IX-SEPTEMBER-2021/,,ISSN NO:0886-9367,GOOLE SCHOLAR,0,,,,,,,,,,,,,,
21,Gali Suresh Reddy,CH BHANU PRAMOD,YES,A Tool For Malware And Malicious URL Classification (MAMUC),Journal,Turkish Journal of Computer and Mathematics Education,yes,NO,"Vol 12, Issue 14, pages 3236-3246",2021,sEPTEMBER,2020-21,https://www.turcomat.org/index.php/turkbilmat/article/download/10895/8133/19385,https://turcomat.org/index.php/turkbilmat/article/view/10895/8133,e-ISSN 1309-4653,"GOOLE SCHOLAR, Scopus",0,,,,,,,,,,,,,,
22,Gali Suresh Reddy,"Venkata Ramana Attili, Sreenivasa Rao Annaluri, Suresh Reddy Gali, Ramasubbareddy Somula",Yes,Behaviour and Emotions of Working Professionals Towards Online Learning Systems: Sentiment Analysis,Journal,International Journal of Gaming and Computer-Mediated Simulations (IJGCMS),Yes,No,"Volume 12, Issue 2, Pages 26-43, Publisher IGI Global",2020,April,2019-20,https://www.igi-global.com/article/behaviour-and-emotions-of-working-professionals-towards-online-learning-systems/261256,DOI: 10.4018/IJGCMS.2020040102,,"GOOLE SCHOLAR, Scopus",,,,,,,,,,,,,,,
23,Gali Suresh Reddy,"Vangipuram Radhakrishna, Gunupudi R Kumar, Gali Suresh Reddy, Dammavalam Srinivasa Rao",No,"Machine Learning for Data Mining, Data Science and Data Analytics",Journal,Recent Advances in Computer Science and Communications (Formerly: Recent Patents on Computer Science),Yes,Yes,"Volume 14, Issue 5, Pages 1356-1357, Publisher Bentham Science Publishers",2021,July,2021-22,https://www.ingentaconnect.com/content/ben/rascs/2021/00000014/00000005/art00003,https://doi.org/10.2174/266625581405210129161546,"26662558, 26662566","GOOLE SCHOLAR, Scopus",,,,,,,,,,,,,,,
24,Gali Suresh Reddy,"Annaluri Sreenivasa Rao, Attili Venkata Ramana, G Suresh Reddy, C Sunil Kumar",No,Removal Based Improved Replication Control and Fault Tolerance Method for Road Traffic Data Management,Journal,International Journal of Computer Science and Information Security (IJCSIS),Yes,Yes,"Volume 16, Issue 3, Pages 141-147",2018,March,2017-18,https://sites.google.com/site/ijcsis/vol-16-no-3-mar-2018,,1947-5500,"Google Scholar, SCOPUS",0,,,,,,,,,,,,,,
25,Gali Suresh Reddy,"A Ananda Rao, G Suresh Reddy and T V Rajinikanth",No,Text Clustering using Incremental Frequent Pattern Mining Approach,Journal,International Journal of Data Mining & Knowledge Management Process (IJDKP),Yes,No,"Volume 5, No.6,",2015,November,2015-16,https://www.researchgate.net/publication/286643399_Text_Clustering_Using_Incremental_Frequent_Pattern_Mining_Approach,DOI:10.5121/ijdkp.2015.5605,,,,,,,,,,,,,,,,,
26,Gali Suresh Reddy,"Koppada Durgaprasad Varma, G Suresh Reddy, Jangili Narendra and Moin Sharukh",Yes,Software-Defined Network and Network Function Virtualization : A Comparative Study,Book Chapter,Software Defined Networking for Future Internet Technology - Concepts and Applications,No,No,"Publisher, CRC Press",2021,August,2021-22,https://www.amazon.com/Software-Defined-Networking-Future-Internet-Technology/dp/1771889861,,ISBN-10 ? : ? 1771889861,Google Scholar,,,,,,,,,,,,,,,
27,Gali Suresh Reddy,"A Manisha, G Suresh Reddy and Kshira Sagar Sahoo",Yes,Software-Defined Industrial IoT for Smart City Applications,Book Chapter,Software Defined Networking for Future Internet Technology - Concepts and Applications,No,No,"Publisher, CRC Press",2021,August,2021-22,https://www.amazon.com/Software-Defined-Networking-Future-Internet-Technology/dp/1771889861,,ISBN-10 ? : ? 1771889861,Google Scholar,,,,,,,,,,,,,,,
28,Gali Suresh Reddy,"B Yogesh, G Suresh Reddy",Yes,Intrusion detection System using Random Forest Approach,Journal,Turkish Journal of Computer and Mathematics Education (TURCOMAT),-,-,Volume 13 Issue 2 Pages 725-733,2022,April,2021-22,https://www.turcomat.org/index.php/turkbilmat/article/view/12527,https://www.turcomat.org/index.php/turkbilmat/article/view/12527/9068,1309-4653,Google Scholar,,,,,,,,,,,,,,,
29,Gali Suresh Reddy,"Ch.Bhanu Pramod, Dr. G.Suresh Reddy",Yes,A Tool For Malware And Malicious URL Classification (MAMUC),Journal,Turkish Journal of Computer and Mathematics Education,,,Volume 12 Issue 14,2021,October,2021-22,https://turcomat.org/index.php/turkbilmat/article/view/10895,https://turcomat.org/index.php/turkbilmat/article/view/10895,e-ISSN 1309-4653,"Scopus, Google Scholar",,,,,,,,,,,,,,,
30,Gali Suresh Reddy,B. Yogesh; G.Suresh Reddy,Yes,Detection of Malware in the Network Using Machine Learning Techniques,Conference,"2022 International Conference on Recent Trends in Microelectronics, Automation, Computing and Communications Systems (ICMACC)",No,No,28-30 December 2022,2022,December,2022-23,https://ieeexplore.ieee.org/abstract/document/10093525,https://doi.org/10.1109/ICMACC54824.2022.10093525,978-1-6654-9604-9,Google Scholar,,,,,,,,,,,,,,,
31,B Jalender,"B Jalender, A Govardhan",No,A Novel Approach For Component Classifications And Adaptation Using JALTREE Algorithm,Journal,"IJCSNS International Journal of Computer Science and Network Security, Volume Number: Vol.22, No.02,Febuary 2022",,Yes,"IJCSNS International Journal of Computer Science and Network Security, VOL.20No.11,February 2022",2022,February,2021-22,http://ijcsns.org/07_book/html/202202/202202015.html,,1738-7906,,,,,,,,,,,,,,,,
32,B Jalender,"B Jalender, A Govardhan",No,A Novel Black Box Approach For Component Adaptation Technique,Journal,"IJCSNS International Journal of Computer Science and Network Security, Volume Number: Vol.22, No.02,Febuary 2022",,Yes,"IJCSNS International Journal of Computer Science and Network Security, VOL.20No.11,February 2022",2022,February,2021-22,http://ijcsns.org/07_book/html/202202/202202011.html,,1738-7906,,,,,,,,,,,,,,,,
33,B Jalender,"B Jalender, A Govardhan, P Premchand",No,Automation of component selection process for designing of reusable components using drag and drop mechanism,Conference,"Inventive Systems and Control (ICISC), 2017 International Conference on",,,"Pages 1-5, Publisher IEEE",2017,January,2016-17,https://ieeexplore.ieee.org/abstract/document/8068594,DOI: 10.1109/ICISC.2017.8068594,ISBN:978-1-5090-4716-1,,2,,,,,,,,,,,,,,
34,B Jalender,"B Jalender, A Govardhan, P Premchand",No,A Novel approach for classifying software reusable components for upload and download,Conference,"Contemporary Computing and Informatics (IC3I), Mysore, India",Yes,,"2014 International Conference on Contemporary Computing and Informatics (IC3I), Pages 71-75, Publisher IEEE",2014,November,2014-15,https://ieeexplore.ieee.org/abstract/document/7019669,DOI: 10.1109/IC3I.2014.7019669,ISBN:978-1-4799-6629-5,,1,,,,,,,,,,,,,,
35,B Jalender,"B Jalender, A Govardhan, P Premchand",No,Designing code level reusable software components,Journal,International Journal of Software Engineering & Applications,,,"Volume 3, Issue 1, Pages 219-229, Publisher, Academy & Industry Research Collaboration Center (AIRCC)",2012,January,2011-12,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1069.6383&rep=rep1&type=pdf,DOI : 10.5121/ijsea.2012.3116,0976 - 2221,,32,,,,,,,,,,,,,,
36,B Jalender,"A Govardhan, P Premchand, C Kiranmai, G Suresh Reddy",No,Drag and drop: influences on the design of reusable software components,Journal,International Journal on Computer Science and Engineering (IJCSE),,,International Journal on Computer Science and Engineering (IJCSE),2011,March,2010-11,https://arxiv.org/ftp/arxiv/papers/1103/1103.1497.pdf,https://arxiv.org/ftp/arxiv/papers/1103/1103.1497.pdf,ISSN 2386-2393,,8,,,,,,,,,,,,,,
37,B Jalender,"B Jalender, A Govardhan, P Premchand",No,A PRAGMATIC APPROACH TO SOFTWARE REUSE,Journal,Journal of Theoretical and Applied Information Technology,yes,yes,Journal of Theoretical and Applied Information Technology,2010,April,2009-10,http://people.cs.pitt.edu/~chang/231/y20/OuyangBG.pdf,,ISSN 1992-8645,,32,,,,,,,,,,,,,,
38,B Jalender,"B Jalender, N.GOWTHAM , K.PRAVEEN KUMAR , K.MURAHARI , K.SAMPATH",No,Breaking the boundaries for software component reuse technology,Journal,International Journal of Computer Applications,yes,,International Journal of Computer Applications,2011,January,2010-11,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.206.4195&rep=rep1&type=pdf,,975 - 8887.,,21,,,,,,,,,,,,,,
39,B Jalender,"B Jalender, A Govardhan, P Premchand",No,Technical impediments to software reuse,Journal,Int. J. Eng. Sci. Technol,,,International Journal of Engineering Science and Technology,2010,November,2010-11,https://www.researchgate.net/publication/50366251_TECHNICAL_IMPEDIMENTS_TO_SOFTWARE_REUSE,,ISSN: 0975-5462,,17,,,,,,,,,,,,,,
40,B Jalender,"B Jalender ,P.N.reddy",No,Design of reusable components using drag and drop mechanism,Conference,"Information Reuse and Integration, 2006 IEEE International Conference",Yes,,IEEE,2006,September,2006-07,https://ieeexplore.ieee.org/abstract/document/4018515,https://doi.org/10.1109/IRI.2006.252438,0-7803-9788-6,,6,,,,,,,,,,,,,,
41,B Jalender,"B Jalender, A Govardhan",No,A Novel Black Box Approach For Component Adaptation Technique,Journal,IJCSNS International Journal of Computer Science and Network Security,No,No,"VOL.22 No.2, February 2022",2022,February,2021-22,https://koreascience.kr/article/JAKO202213042290194.pdf,https://doi.org/10.22937/IJCSNS.2022.22.2.11,ISSN : 1738-7906,Google Scholar,,,,,,,,,,,,,,,
42,V Radhakrishna,"Sreedevi Jasthy, Radhakrishna Vangipuram, Sushama Rani Dutta",No,A systematic review and analysis on deep learning techniques used in diagnosis of various categories of lung diseases,Journal,MENDEL Soft Computing Journal,Yes,Yes,Vol 27 No 2 (2021),2021,December,2021-22,http://eshop-drevopraha.test.infv.eu/index.php/mendel/article/view/145,https://doi.org/10.13164/mendel.2021.2.080,ISSN 1803-3814 (Print) ISSN 2571-3701 (Online),Institute of Automation and,,,,,,,VRK-J101,,,,,,,,
43,V Radhakrishna,"Rajasai Bandaru, Sahithi Pola, Sai Anirudh Thadem, Keerthi Pendyala, Radhakrishna Vangipuram, Sravan Kiran Vangipuram",No,Design and analysis of activation functions used in deep learning models,Conference,The 7th International Conference on Engineering & MIS 2021,Yes,Yes,ICEMIS'21: The 7th International Conference on Engineering & MIS 2021October 2021 Article No.: 10Pages 1–5,2021,December,2021-22,,https://doi.org/10.1145/3492547.3492575,ISBN: 978-1-4503-9044-6,,,,,,,,VRK-C100,,,,,,,,
44,V Radhakrishna,Vangipuram Radhakrishna,No,Regional Editor,Editor,Recent Advances in Computer Science and Communications (Formerly: Recent Patents on Computer Science),Yes,Yes,"Volume 14, Number 5, 2021, pp. 1355-1355(1), Bentham Science Publishers",2021,July,2021-22,,https://www.ingentaconnect.com/content/ben/rascs/2021/00000014/00000005/art00002,"ISSN: 2666-2558, 2666-2566",,,,,,,,VRK-ED099,,,,,,,,
45,V Radhakrishna,"Vangipuram Radhakrishna, Gunupudi R Kumar, Gali Suresh Reddy, Dammavalam Srinivasa Rao",No,"Machine Learning for Data Mining, Data Science and Data Analytics",Journal,Recent Advances in Computer Science and Communications (Formerly: Recent Patents on Computer Science),Yes,Yes,Volume 14 Issue 5 Pages 1356-1357 Publisher Bentham Science Publishers,2021,July,2021-22,https://www.ingentaconnect.com/content/ben/rascs/2021/00000014/00000005/art00003,DOI: https://doi.org/10.2174/266625581405210129161546,"ISSN: 2666-2558, 2666-2566",,,,,,,,VRK-J098,,,,,,,,
46,V Radhakrishna,"Vangipuram Radhakrishna, Gali Suresh Reddy, Puligadda Veereswara Kumar, Vinjamuri Janaki",No,Challenge Paper: The Vision for Time Profiled Temporal Association Mining,journal,Journal of Data and Information Quality (JDIQ),Yes,Yes,"Vol. 13, No. 2, Article 12, Publication date: May 2021.",2021,May,2020-21,https://dl.acm.org/doi/pdf/10.1145/3404198,DOI: https://doi.org/10.1145/3404198,ISSN:1936-1955,ACM,,,,,,,VRK-J097,,,,,,,,
47,V Radhakrishna,"Arun Nagaraja, Uma Boregowda, Radhakrishna Vangipuram",No,Fuzzy Feature Similarity Functions for Feature Clustering and Dimensionality Reduction,Conference,"DATA'21: International Conference on Data Science, E-learning and Information Systems 2021",Yes,Yes,April 2021 Pages 219–224,2021,April,2020-21,https://dl.acm.org/doi/abs/10.1145/3460620.3460758,https://doi.org/10.1145/3460620.3460758,ISBN: 978-1-4503-8838-2,,,,,,,,VRK-C096,,,,,,,,
48,V Radhakrishna,"Arun Nagaraja, Uma Boregowda, Radhakrishna Vangipuram",No,Study of Detection of DDoS attacks in cloud environment Using Regression Analysis,Conference,"DATA'21: International Conference on Data Science, E-learning and Information Systems 2021",Yes,Yes,Pages 166–172,2021,April,2020-21,https://dl.acm.org/doi/10.1145/3460620.3460750,https://doi.org/10.1145/3460620.3460750,,,,,,,,,VRK-C095,,,,,,,,
49,V Radhakrishna,"Arun Nagaraja, Uma Boregowda, Radhakrishna Vangipuram",No,Regression analysis for network intrusion detection,Conference,"DATA'21: International Conference on Data Science, E-learning and Information Systems 2021",Yes,Yes,"International Conference on Data Science, E-learning and Information Systems 2021",2021,April,2020-21,https://dl.acm.org/doi/abs/10.1145/3460620.3460751,https://doi.org/10.1145/3460620.3460751,,,,,,,,,VRK-C094,,,,,,,,
50,V Radhakrishna,"Arun Nagaraja, Uma Boregowda, Radhakrishna Vangipuram, Rajeshkumar Gunupudi",No,Design of Gaussian Similarity Measure for Network Anomaly Detection,conference,"DATA'21: International Conference on Data Science, E-learning and Information Systems 2021",Yes,Yes,Pages 225-230,2021,April,2020-21,,https://doi.org/10.1145/3460620.3460759,,,,,,,,,VRK-C093,,,,,,,,
51,V Radhakrishna,Radhakrishna Vangipuram Aravind Cheruvu,No,A Survey of Similarity Measures for Time stamped Temporal Datasets,Conference,"DATA'21: International Conference on Data Science, E-learning and Information Systems 2021",Yes,Yes,Pages 193–197,2021,April,2020-21,,https://doi.org/10.1145/3460620.3460754,,,,,,,,,VRK-C092,,,,,,,,
52,V Radhakrishna,"Aravind Cheruvu Phridviraj M.S.B , Guru Rao C.V , Radhakrishna Vangipuram",No,Similarity Association Pattern Mining in Transaction Databases,conference,"DATA'21: International Conference on Data Science, E-learning and Information Systems 2021",Yes,Yes,Pages 180–184,2021,April,2020-21,https://dl.acm.org/doi/abs/10.1145/3460620.3460752,https://doi.org/10.1145/3460620.3460752,,,,,,,,,VRK-C091,,,,,,,,
53,V Radhakrishna,"Aljawarneh S.A., Radhakrishna V., Cheruvu A.",No,VRKSHA: a novel tree structure for time-profiled temporal association mining,Journal,Neural Computing and Applications,Yes,Yes,Vol-32 Issue-21 Pages - 16337-16365 Publisher Springer Science and Business Media Deutschland GmbH,2020,August,2020-21,,10.1007/s00521-018-3776-7,ISSN. 0941-0643,Springer Science and Business Media Deutschland GmbH,18,,,,,,VRK-C090,,,,,,,,
54,V Radhakrishna,"Vangipuram R., Gunupudi R.K., Puligadda V.K., Vinjamuri J.",No,A machine learning approach for imputation and anomaly detection in IoT environment,Conference,Expert Systems,Yes,Yes,Vol-37 Issue-5 Pages - - Publisher Blackwell Publishing Ltd,2020,November,2020-21,,10.1111/exsy.12556,ISSN:1468-0394,Blackwell Publishing Ltd,17,,,,,,VRK-J089,,,,,,,,
55,V Radhakrishna,"Aljawarneh S.A., Vangipuram R.",No,GARUDA: Gaussian dissimilarity measure for feature representation and anomaly detection in Internet of things,Journal,Journal of Supercomputing,Yes,Yes,Vol-76 Issue-6 Pages - 4376-4413 Publisher Springer,2020,January,2020-21,,10.1007/s11227-018-2397-3,ISSN. 0920-8542,Springer,74,,,,,,VRK-J088,,,,,,,,
56,V Radhakrishna,"Nagaraja A., Boregowda U., Khatatneh K., Vangipuram R., Nuvvusetty R., Sravan Kiran V.",No,Similarity Based Feature Transformation for Network Anomaly Detection,Journal,IEEE Access,Yes,Yes,Vol-8 Issue- Pages - 39184-39196 Publisher Institute of Electrical and Electronics Engineers Inc.,2020,March,2020-21,,10.1109/ACCESS.2020.2975716,ISSN: 2169-3536,Institute of Electrical and Electronics Engineers Inc.,14,,,,,,VRK-J087,,,,,,,,
57,V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V.",No,GANDIVA: Temporal pattern tree for similarity profiled association mining,Journal,International Journal of Information Technology and Web Engineering,Yes,Yes,Vol-14 Issue-4 Pages - 1-18 Publisher IGI Global,2019,April,2018-19,,10.4018/IJITWE.2019100101,ISSN: 1554-1045,IGI Global,10,,,,,,VRK-J085,,,,,,,,
58,V Radhakrishna,"Aljawarneh S., Radhakrishna V., Kumar G.R.",No,An imputation measure for data imputation and disease classification of medical datasets,Conference,AIP Conference Proceedings,Yes,Yes,Vol-2146 Issue- Pages - - Publisher American Institute of Physics Inc.,2019,August,2019-20,,10.1063/1.5123688,9.78E+12,American Institute of Physics Inc.,12,,,,,,VRK-C084,,,,,,,,
59,V Radhakrishna,"Aljawarneh S., Radhakrishna V., Kumar G.R.",No,A recent survey on challenges in security and privacy in internet of things,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2019,June,2018-19,,10.1145/3330431.3330457,9.78E+12,Association for Computing Machinery,9,,,,,,VRK-C083,,,,,,,,
60,V Radhakrishna,"Radhakrishna V., Janaki V., Aljawarneh S., Kumar P.V., Cheruvu A.",No,Tree based data fusion approach for mining temporal patterns,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2019,June,2018-19,,10.1145/3330431.3330463,9.78E+12,Association for Computing Machinery,13,,,,,,VRK-C082,,,,,,,,
61,V Radhakrishna,"Radhakrishna V., Aljawarneh S., Kumar P.V., Janaki V., Cheruvu A.",No,Discovery of time profiled temporal patterns,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2019,June,2018-19,,10.1145/3330431.3330459,9.78E+12,Association for Computing Machinery,,,,,,,,,,,,,,,
62,V Radhakrishna,"Aljawarneh S., Radhakrishna V., Cheruvu A.",No,Nirnayam - Fusion of iterative rule based decisions to build decision trees for efficient classification,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2019,June,2018-19,,10.1145/3330431.3330458,9.78E+12,Association for Computing Machinery,15,,,,,,VRK-C081,,,,,,,,
